GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G2,0,1652,-0.011722752824425697,0.033214468508958817,1.0018069744110107
G2,0,1752,-0.05372928828001022,0.015630338340997696,1.3417668342590332
G2,1,78,0.06007910892367363,0.0517754927277565,0.8919061422348022
G2,1,180,0.03028378076851368,0.006349824834614992,1.3569087982177734
G2,1,280,-0.30528005957603455,0.27060022950172424,-0.08596685528755188
G2,1,383,0.008303617127239704,0.0674058347940445,-0.041518084704875946
G2,1,485,-0.2837883234024048,0.15825717151165009,-1.2118396759033203
G2,1,588,0.2007521539926529,0.12650804221630096,-0.7058074474334717
G2,1,689,-0.2886728048324585,-0.359009325504303,2.1687095165252686
G2,1,791,-0.08987443894147873,-0.027353093028068542,1.0198795795440674
G2,1,892,-0.05372928828001022,-0.08352462202310562,1.0252524614334106
G2,1,994,-0.1284618377685547,-0.06056756153702736,1.0941236019134521
G2,1,1095,-0.05519463121891022,-0.03956429287791252,1.0203680992126465
G2,1,1197,-0.06838272511959076,0.000976896146312356,1.0814239978790283
G2,1,1297,-0.12113512307405472,0.007326721213757992,0.9720116257667542
G2,2,80,-0.07473254948854446,0.045425668358802795,1.083377718925476
G2,2,180,0.02149171382188797,0.10159719735383987,0.979826807975769
G2,2,283,-0.04200653359293938,0.04786791279911995,0.9427047371864319
G2,2,386,-0.05275239422917366,0.0376105010509491,1.0218334197998047
G2,2,486,-0.03077222779393196,0.04640256613492966,1.0276947021484375
G2,2,589,-0.04347187653183937,0.0376105010509491,1.0394175052642822
G2,2,693,-0.023445505648851395,0.06056756153702736,1.0701897144317627
G2,3,608,-0.06789427995681763,0.06984807550907135,1.2025591135025024
G2,3,657,-0.04298342764377594,0.09768961369991302,1.102915644645691
G2,3,685,-0.0801054835319519,0.09964340925216675,1.024275541305542
G2,3,711,-0.02686464414000511,0.12601961195468903,1.0066914558410645
G2,3,743,0.012211201712489128,0.15972252190113068,0.9602888822555542
G2,3,780,-0.019537921994924545,0.1587456315755844,0.9768961071968079
G2,3,808,-0.04005274176597595,0.1489766538143158,1.0115759372711182
G2,3,976,-0.0879206508398056,0.13285787403583527,1.0555362701416016
G2,3,1005,-0.03028378076851368,0.14458061754703522,1.0359983444213867
G2,3,1033,-0.032237570732831955,0.14506907761096954,1.0213449001312256
G2,3,1123,0.020026370882987976,0.16265320777893066,0.9627311825752258
G2,3,1224,0.011722752824425697,0.13920769095420837,1.0701897144317627
G2,3,1326,0.09768961369991302,0.2305474877357483,0.9617542028427124
G2,3,1428,0.20465973019599915,0.3687782883644104,0.940262496471405
G2,3,1531,0.19537922739982605,0.4127385914325714,0.9104671478271484
G2,3,1631,0.2759731709957123,0.4830751419067383,0.7829822301864624
G2,3,1734,0.2495969533920288,0.5021246075630188,0.8098468780517578
G2,3,1835,0.2837883234024048,0.5573192834854126,0.7663750052452087
G2,3,1937,0.22175541520118713,0.5841838717460632,0.7844475507736206
G2,3,2037,0.2432471364736557,0.61007159948349,0.795681893825531
G2,3,2140,0.20026370882987976,0.6237481832504272,0.7995894551277161
G2,3,2241,0.14164994657039642,0.6315633058547974,0.7815169095993042
G2,3,2344,0.11087770760059357,0.6237481832504272,0.739021897315979
G2,3,2446,0.119181327521801,0.6291210651397705,0.7165533304214478
G2,3,2549,0.11722753942012787,0.6247250437736511,0.7639327645301819
G2,3,2651,0.08889754861593246,0.6173983812332153,0.8201043009757996
G2,3,2751,0.08987443894147873,0.6183752417564392,0.7995894551277161
G2,3,2854,0.10745857656002045,0.6027448773384094,0.8328039646148682
G2,3,2957,0.09817805886268616,0.6042102575302124,0.8122891187667847
G2,3,3060,0.08254771679639816,0.5949296951293945,0.7761439681053162
G2,3,3161,0.06789427995681763,0.6071408987045288,0.7653980851173401
G2,3,3263,0.08840910345315933,0.5963950753211975,0.8308501243591309
G2,3,3365,0.10697013139724731,0.599814236164093,0.8269425630569458
G2,3,3472,0.10452788323163986,0.5890683531761169,0.8259657025337219
G2,3,3573,0.10257409512996674,0.5861377120018005,0.7893320918083191
G2,3,3674,0.102085642516613,0.6276557445526123,0.6691738367080688
G2,3,3783,-0.11234305053949356,0.5714842081069946,0.8591801524162292
G2,3,3884,-0.8103353381156921,0.25936591625213623,1.3681429624557495
G2,3,3987,-0.7986125946044922,0.1255311518907547,0.541688859462738
G2,3,4089,-0.5895568132400513,0.09622427076101303,0.9544274806976318
G2,3,4190,-0.39955052733421326,0.12992718815803528,0.48405200242996216
G2,3,4292,-0.532896876335144,0.1865871548652649,0.4254382848739624
G2,3,4393,-1.1879057884216309,0.19049474596977234,0.5797878503799438
G2,3,4495,-0.9954571723937988,0.359009325504303,0.44155704975128174
G2,3,4596,-0.75758296251297,0.3687782883644104,0.560249924659729
